20,22.37,Onion,14553
29,16.85,Ground Turkey,47273
43,44.92,Zucchini,48102
17,22.94,Butter,88267
24,39.35,Turkey Slices,18520
35,3.66,Chicken Breast,16779
5,32.99,Cucumber,79189
31,49.81,Macadamia Nuts,84465
42,23.59,Ground Turkey,45530
48,3.66,Cranberries,36308
41,23.39,Sliced Ham,76717
19,22.28,Canned Coconut Milk,43944
36,3.58,Blue Cheese,62205
11,32.51,Clotted Cream,22229
23,21.59,Clotted Cream,68499
22,16.17,Seaweed Snacks,14247
25,15.78,Ghee,29715
31,17.95,Kiwi,75134
38,4.66,Sesame Oil,51985
27,2.55,Kimchi,16666
37,29.16,Colby Jack Cheese,73488
39,21.26,Kiwi,54169
38,34.2,Cauliflower,47878
19,11.89,Passionfruit,26689
37,34.27,Almond Milk,28748
7,9.77,Hummus,61887
23,28.15,Greek Yogurt,27314
44,12.97,Vanilla Extract,30948
31,29.38,Cilantro,49678
2,29.5,Pomegranate,86997
38,30.0,Mango,15900
5,27.83,Whole Wheat Flour,90343
28,36.27,Milk,92291
42,30.19,Watercress,31584
9,5.4,Green Beans,95258
15,16.47,Chestnuts,57326
43,46.27,Sweet Corn,79326
45,45.68,Persimmon,91884
45,41.55,Kiwi,62142
50,1.78,Chia Seeds,24337
19,29.37,Scallions,71682
32,45.54,Sliced Ham,77001
23,7.62,Basil,29110
999,9.99,Test Product,87581
